record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number
91c995a9-b77d-4840-92ba-eae83f6e1d3e,2010,10,Miền Bắc,Regional,Cultivation,Lúa,Mùa,Area_Harvested,892.2,1000_ha,Actual,PL1
6ccfefd4-c609-4baf-985f-8435cfc98bd2,2011,10,Miền Bắc,Regional,Cultivation,Lúa,Mùa,Area_Harvested,555.7,1000_ha,Actual,PL1
b7d13d7e-d6b9-4406-9ef3-75957b1bf430,2010,10,Miền Nam,Regional,Cultivation,Lúa,Mùa,Area_Planted,665.4,1000_ha,Actual,PL1
5aded818-4997-4303-8fdd-d95cc925aae5,2011,10,Miền Nam,Regional,Cultivation,Lúa,Mùa,Area_Planted,682.5,1000_ha,Actual,PL1
cfc74d22-1391-4bcb-b0c0-9e4733d55779,2010,10,Miền Nam,Regional,Cultivation,Lúa,Đông Xuân,Area_Planted,122.1,1000_ha,Actual,PL1
1098ada8-c5d3-44cc-949a-f68bddb6df41,2011,10,Miền Nam,Regional,Cultivation,Lúa,Đông Xuân,Area_Planted,94.7,1000_ha,Actual,PL1
eb967579-1db6-4671-9657-f17e9746fcd8,2010,10,Cả nước,National,Cultivation,Khoai lang,,Area_Planted,30.8,1000_ha,Actual,PL1
fef149b0-b2fc-4c0d-bc24-72bd4be5e205,2011,10,Cả nước,National,Cultivation,Khoai lang,,Area_Planted,17.4,1000_ha,Actual,PL1
e79a63f9-5518-4e7a-92ee-599055cd6b8d,2010,10,Cả nước,National,Cultivation,Đậu tương,,Area_Planted,83.5,1000_ha,Actual,PL1
10171f60-3016-4826-b2e1-8b780172bf75,2011,10,Cả nước,National,Cultivation,Đậu tương,,Area_Planted,23.3,1000_ha,Actual,PL1
5587818f-e99c-4dbb-8d3c-9bbd74268afd,2010,10,Cả nước,National,Cultivation,Lạc,,Area_Planted,6.8,1000_ha,Actual,PL1
9505abad-7282-4350-b7de-b45049e55d92,2011,10,Cả nước,National,Cultivation,Lạc,,Area_Planted,4.1,1000_ha,Actual,PL1
c1c72832-d659-4df3-8f97-319ba8a09712,2010,10,Cả nước,National,Cultivation,Rau đậu,,Area_Planted,74.0,1000_ha,Actual,PL1
10cf91e4-8267-4ad3-b150-c75e88413118,2011,10,Cả nước,National,Cultivation,Rau đậu,,Area_Planted,41.2,1000_ha,Actual,PL1
443e92ad-f0ff-46fd-b68f-4f54cbfcfe38,2011,12,Cả nước,National,Trade,"1. Nông sản chính,trong đó:",Xuất khẩu,Export_Value,11601.0,million_USD,Estimated,PL10
37c180ee-7fef-4d28-befb-30dbef033aa2,2011,12,Cả nước,National,Trade,Cà phê,Xuất khẩu,Export_Volume,1032.0,1000_ton,Estimated,PL10
5aef926a-049f-40ed-abbb-36fcdd0d7b25,2011,12,Cả nước,National,Trade,Cà phê,Xuất khẩu,Export_Value,2281.0,million_USD,Estimated,PL10
091ae210-8ca2-4ac4-be99-a026d377fbdf,2011,12,Cả nước,National,Trade,Cao su,Xuất khẩu,Export_Volume,608.0,1000_ton,Estimated,PL10
540213e5-c564-41bd-84a3-fab792c039ec,2011,12,Cả nước,National,Trade,Cao su,Xuất khẩu,Export_Value,2625.0,million_USD,Estimated,PL10
4420fd87-c873-4029-970a-5b573232fb06,2011,12,Cả nước,National,Trade,Gạo,Xuất khẩu,Export_Volume,6484.0,1000_ton,Estimated,PL10
bc152ca0-ca96-4ee4-a954-18bed4be30ec,2011,12,Cả nước,National,Trade,Gạo,Xuất khẩu,Export_Value,3266.0,million_USD,Estimated,PL10
1e1cd25f-4751-4584-958a-e7a372e2166a,2011,12,Cả nước,National,Trade,Chè,Xuất khẩu,Export_Volume,112.0,1000_ton,Estimated,PL10
265c3cf3-6e0a-4976-8e11-0b40b81013c1,2011,12,Cả nước,National,Trade,Chè,Xuất khẩu,Export_Value,173.0,million_USD,Estimated,PL10
64d332a6-ac8c-40dc-b129-2bd0a967f1d7,2011,12,Cả nước,National,Trade,Hạt điều,Xuất khẩu,Export_Volume,146.0,1000_ton,Estimated,PL10
83ee9cc8-61a8-4811-b54b-cc8a4fdee820,2011,12,Cả nước,National,Trade,Hạt điều,Xuất khẩu,Export_Value,1218.0,million_USD,Estimated,PL10
25cf680c-168d-4f96-b9f4-bdb84b24f3ae,2011,12,Cả nước,National,Trade,Hạt tiêu,Xuất khẩu,Export_Volume,120.0,1000_ton,Estimated,PL10
3d957ddd-0835-442c-bc3e-53d3d942fc6f,2011,12,Cả nước,National,Trade,Hạt tiêu,Xuất khẩu,Export_Value,702.0,million_USD,Estimated,PL10
9353e217-9530-42aa-808e-4fa6067db17f,2011,12,Cả nước,National,Trade,Hàng rau quả,Xuất khẩu,Export_Value,520.0,million_USD,Estimated,PL10
098e907f-a115-4def-8c3a-d6df8f18701e,2011,12,Cả nước,National,Trade,Sắn và sản phẩm từ sắn,Xuất khẩu,Export_Volume,2288.0,1000_ton,Estimated,PL10
4d592ec6-4a30-454a-b440-e69ce602d3fa,2011,12,Cả nước,National,Trade,Sắn và sản phẩm từ sắn,Xuất khẩu,Export_Value,815.0,million_USD,Estimated,PL10
ffb9c3f7-2a96-4f63-9d68-6fc369f60a93,2011,12,Cả nước,National,Trade,2. Thuỷ sản,Xuất khẩu,Export_Value,4946.0,million_USD,Estimated,PL10
4eec1090-3b6e-4c3d-b6de-88a661a58e3f,2011,12,Cả nước,National,Trade,"3. Lâm sản chính,trong đó:",Xuất khẩu,Export_Value,3385.0,million_USD,Estimated,PL10
cab363eb-e66c-48d8-b1cc-78d5534d7812,2011,12,Cả nước,National,Trade,Quế,Xuất khẩu,Export_Value,30.0,million_USD,Estimated,PL10
