record_id,year,month,report_date,period_type,geo_level,location_name,region_id,region_name_vn,sector,commodity,sub_item,variety,processing_level,attribute,value,unit,data_type,comparison_type,comparison_value,base_period,base_value,source_file,appendix_number
a0e1b2c3-d4e5-4f6a-7b8c-9d0e1f2a3b4c,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,2773.9,1000_ha,Actual,YoY,127.2,2008-02-15,2180.5,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
b1c2d3e4-f5a6-7b8c-9d0e-1f2a3b4c5d6e,2009,2,2009-02-15,Cumulative,Regional,Miền Bắc,NORTH,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,933.6,1000_ha,Actual,YoY,220.1,2008-02-15,424.2,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
c2d3e4f5-a6b7-8c9d-0e1f-2a3b4c5d6e7f,2009,2,2009-02-15,Cumulative,Regional,Vùng Đồng bằng sông Hồng,,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,447.0,1000_ha,Actual,YoY,536.0,2008-02-15,83.4,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
d3e4f5a6-b7c8-9d0e-1f2a-3b4c5d6e7f8a,2009,2,2009-02-15,Cumulative,Regional,Vùng Duyên hải Bắc Trung bộ,,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,321.2,1000_ha,Actual,YoY,118.7,2008-02-15,270.5,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
e4f5a6b7-c8d9-0e1f-2a3b-4c5d6e7f8a9b,2009,2,2009-02-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1840.3,1000_ha,Actual,YoY,104.8,2008-02-15,1756.5,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
f5a6b7c8-d9e0-1f2a-3b4c-5d6e7f8a9b0c,2009,2,2009-02-15,Cumulative,Regional,Đồng bằng sông Cửu Long,R8,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1508.5,1000_ha,Actual,YoY,103.6,2008-02-15,1456.6,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
a6b7c8d9-e0f1-2a3b-4c5d-6e7f8a9b0c1d,2009,2,2009-02-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Đông Xuân,,,Area_Harvested,286.5,1000_ha,Actual,YoY,111.6,2008-02-15,256.7,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
b7c8d9e0-f1a2-3b4c-5d6e-7f8a9b0c1d2e,2009,2,2009-02-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Đông Xuân,,,Area_Harvested,286.5,1000_ha,Actual,vs_Plan,13.9,DTGC,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
c8d9e0f1-a2b3-4c5d-6e7f-8a9b0c1d2e3f,2009,2,2009-02-15,Cumulative,Regional,Đồng bằng sông Cửu Long,R8,,Cultivation,Lúa,Đông Xuân,,,Area_Harvested,286.5,1000_ha,Actual,YoY,111.7,2008-02-15,256.4,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
d9e0f1a2-b3c4-5d6e-7f8a-9b0c1d2e3f4a,2009,2,2009-02-15,Cumulative,Regional,Đồng bằng sông Cửu Long,R8,,Cultivation,Lúa,Đông Xuân,,,Area_Harvested,286.5,1000_ha,Actual,vs_Plan,17.0,DTGC,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
e0f1a2b3-c4d5-6e7f-8a9b-0c1d2e3f4a5b,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Cây màu lương thực,,,,Area_Planted,368.5,1000_ha,Actual,YoY,92.6,2008-02-15,398.0,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
f1a2b3c4-d5e6-7f8a-9b0c-1d2e3f4a5b6c,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Ngô,,,,Area_Planted,248.5,1000_ha,Actual,YoY,92.9,2008-02-15,267.6,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
a2b3c4d5-e6f7-8a9b-0c1d-2e3f4a5b6c7d,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Khoai lang,,,,Area_Planted,65.2,1000_ha,Actual,YoY,82.0,2008-02-15,79.5,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
b3c4d5e6-f7a8-9b0c-1d2e-3f4a5b6c7d8e,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Sắn,,,,Area_Planted,54.4,1000_ha,Actual,YoY,108.5,2008-02-15,50.2,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
c4d5e6f7-a8b9-0c1d-2e3f-4a5b6c7d8e9f,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Cây công nghiệp ngắn ngày,,,,Area_Planted,233.4,1000_ha,Actual,YoY,129.5,2008-02-15,180.3,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
d5e6f7a8-b9c0-1d2e-3f4a-5b6c7d8e9f0a,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Đậu tương,,,,Area_Planted,71.6,1000_ha,Actual,YoY,95.9,2008-02-15,74.7,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
e6f7a8b9-c0d1-2e3f-4a5b-6c7d8e9f0a1b,2009,2,2009-02-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Lạc,,,,Area_Planted,110.5,1000_ha,Actual,YoY,138.6,2008-02-15,79.7,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1
