record_id,year,month,report_date,period_type,geo_level,location_name,region_id,region_name_vn,sector,commodity,sub_item,variety,processing_level,attribute,value,unit,data_type,comparison_type,comparison_value,base_period,base_value,source_file,appendix_number
b698a106-804e-43e4-bf81-15abf80417d4,2010,1,2010-01-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1881.0,1000_ha,Actual,YoY,103.2,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
2a143365-483a-43ec-9294-68380364f68c,2009,1,2009-01-15,Cumulative,National,Cả nước,NATIONAL,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1822.7,1000_ha,Actual,,,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
91e09b6a-2864-4849-be7f-d04dd83872b2,2010,1,2010-01-15,Cumulative,Regional,Miền Bắc,NORTH,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,73.9,1000_ha,Actual,YoY,72.1,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
450135f1-de74-4a7a-9a65-2ec12a7fa1b2,2009,1,2009-01-15,Cumulative,Regional,Miền Bắc,NORTH,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,102.5,1000_ha,Actual,,,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
0815d9ae-5581-47d9-b9a4-d68ae62dc323,2010,1,2010-01-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1807.1,1000_ha,Actual,YoY,105.1,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
4dba593c-5803-4b75-8a3e-51f67b936c3e,2009,1,2009-01-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1720.2,1000_ha,Actual,,,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
4c2fb7b7-93e2-419e-8f5e-36fe1d5e95c7,2010,1,2010-01-15,Cumulative,Regional,Đồng bằng sông Cửu Long,R8,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1495.3,1000_ha,Actual,YoY,106.0,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
290c335b-c8b9-40e5-930a-5e5fadc69175,2009,1,2009-01-15,Cumulative,Regional,Đồng bằng sông Cửu Long,R8,,Cultivation,Lúa,Đông Xuân,,,Area_Planted,1410.5,1000_ha,Actual,,,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
ce4eef8e-c1fd-46d5-9121-76295629b0b5,2010,1,2010-01-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Mùa,,,Area_Harvested,647.0,1000_ha,Actual,YoY,95.1,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
c3c93800-4116-4f99-8d57-d49c4f1b77b5,2009,1,2009-01-15,Cumulative,Regional,Miền Nam,SOUTH,,Cultivation,Lúa,Mùa,,,Area_Harvested,680.3,1000_ha,Actual,,,,,2010_01_PhuLuc_T01_2010_PL1.md,PL1
