record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number,Unnamed: 13,has_number_prefix
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,36664.0,ha,Actual,PL2b,,False
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,3326.0,ha,Actual,PL3b,,False
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,1392.0,ha,Actual,PL3b,,False
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,3466.0,ha,Actual,PL2b,,False
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,5866.0,ha,Actual,PL2b,,False
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,2400.0,ha,Actual,PL2b,,False
000513a584a7f67f,2010,2,Quảng Ngãi,Provincial,Cultivation,Lúa,,Area_Planted,1141.0,ha,Actual,PL3b,,False
000a27858d80596e,2012,8,Hải Dương,Provincial,Cultivation,Lúa,,Area_Planted,1050.0,ha,Actual,PL3,,False
000a27858d80596e,2012,8,Hải Dương,Provincial,Cultivation,Lúa,,Area_Planted,581.0,ha,Actual,PL3,,False
000a27858d80596e,2012,8,Hải Dương,Provincial,Cultivation,Lúa,,Area_Planted,1631.0,ha,Actual,PL3,,False
000a27858d80596e,2012,8,Hải Dương,Provincial,Cultivation,Lúa,,Area_Planted,62500.0,ha,Actual,PL2,,False
000a27858d80596e,2012,8,Hải Dương,Provincial,Cultivation,Lúa,,Area_Planted,1575.0,ha,Actual,PL2,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,4700152,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,2726,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,129219,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,29477,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,256965,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,212032,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,1194,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,2500,1000_ton,Actual,PL8a,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,26854,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,1349167,1000_ton,Actual,PL8b,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,6668,1000_ton,Actual,PL8a,,False
000d2344ef8b6c50,2009,1,Cả nước,National,Trade,8,Xuất khẩu,Export_Volume,23270,1000_ton,Actual,PL8b,,False
