record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number,Unnamed: 13,has_number_prefix
8ba21a5a799a4683,2008,2,1. Gieo cấy lúa đông xuân cả nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,21805,1000_ha,Actual,PL1,,True
8d5b7a6f01861c79,2009,2,1. Gieo cấy lúa đông xuân cả nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,27739,1000_ha,Actual,PL1,,True
cdc5c3572c601d04,2008,2,2. Thu hoạch lúa đông xuân ở miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,2567,1000_ha,Actual,PL1,,True
877dd399acb5a7b9,2009,2,2. Thu hoạch lúa đông xuân ở miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,2865,1000_ha,Actual,PL1,,True
f633a96202b9eeb6,2008,2,3. Gieo trồng màu lương thực(),Provincial,Cultivation,Màu lương thực,,Area_Planted,3980,1000_ha,Actual,PL1,,True
ed16568e76eec4da,2009,2,3. Gieo trồng màu lương thực(),Provincial,Cultivation,Màu lương thực,,Area_Planted,3685,1000_ha,Actual,PL1,,True
e4de57f4ae1fb846,2008,2,4. Gieo trồng cây công nghiệp ngắn ngày(,Provincial,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,1803,1000_ha,Actual,PL1,,True
835bde5cb22b0a64,2009,2,4. Gieo trồng cây công nghiệp ngắn ngày(,Provincial,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,2334,1000_ha,Actual,PL1,,True
22cfc9de5188e808,2008,2,"5. Gieo trồng rau, đậu các loại()",Provincial,Cultivation,Rau đậu,,Area_Planted,3067,1000_ha,Actual,PL1,,True
611128d60e6c0f8a,2009,2,"5. Gieo trồng rau, đậu các loại()",Provincial,Cultivation,Rau đậu,,Area_Planted,3025,1000_ha,Actual,PL1,,True
99dd5eb9f4191aca,2008,3,1. Gieo cấy lúa đông xuân cả nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,29317,1000_ha,Actual,PL1,,True
58859d4d0bb28df4,2009,3,1. Gieo cấy lúa đông xuân cả nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,29810,1000_ha,Actual,PL1,,True
8aa1d338fb170c6c,2008,3,2. Thu hoạch lúa đông xuân miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,9920,1000_ha,Actual,PL1,,True
471aa6e06510aaf0,2009,3,2. Thu hoạch lúa đông xuân miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,7962,1000_ha,Actual,PL1,,True
8054fcf5ef9f5282,2008,3,3. Gieo cấy lúa hè thu ở ĐBSCL,Provincial,Cultivation,Unknown,,Area_Planted,1126,1000_ha,Actual,PL1,,True
1785f8d919b14658,2009,3,3. Gieo cấy lúa hè thu ở ĐBSCL,Provincial,Cultivation,Unknown,,Area_Planted,1023,1000_ha,Actual,PL1,,True
259d96d7bf255323,2008,3,4. Gieo trồng màu(*),Provincial,Cultivation,Unknown,,Area_Planted,5830,1000_ha,Actual,PL1,,True
88a76db94b5d5f13,2009,3,4. Gieo trồng màu(*),Provincial,Cultivation,Unknown,,Area_Planted,5334,1000_ha,Actual,PL1,,True
536e9d39e9dc019b,2008,3,5. Gieo trồng cây công nghiệp ngắn ngày(*),Provincial,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,3345,1000_ha,Actual,PL1,,True
21bcf30d9a214c83,2009,3,5. Gieo trồng cây công nghiệp ngắn ngày(*),Provincial,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,3201,1000_ha,Actual,PL1,,True
194ee83070494107,2008,3,"6. Gieo trồng rau, đậu các loại(*)",Provincial,Cultivation,Rau đậu,,Area_Planted,3396,1000_ha,Actual,PL1,,True
d113ec99b1a84d99,2009,3,"6. Gieo trồng rau, đậu các loại(*)",Provincial,Cultivation,Rau đậu,,Area_Planted,3603,1000_ha,Actual,PL1,,True
dd4a72953c65aa3f,2008,4,1. Gieo cấy lúa hè thu miền Nam,Provincial,Cultivation,Unknown,,Area_Planted,4412,1000_ha,Actual,PL1,,True
d0b8ad781b70a9a6,2008,4,2. Thu hoạch lúa đông xuân miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,16532,1000_ha,Actual,PL1,,True
