record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number,Unnamed: 13,has_number_prefix
8ba21a5a799a4683,2008,2,1. Gieo cấy lúa đông xuân cả nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,21805,1000_ha,Actual,PL1,,True
8d5b7a6f01861c79,2009,2,1. Gieo cấy lúa đông xuân cả nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,27739,1000_ha,Actual,PL1,,True
52470df47ed8406b,2008,2,- Vùng Duyên hải Bắc Trung bộ,Provincial,Cultivation,Unknown,,Area_Planted,2705,1000_ha,Actual,PL1,,False
ef2b0432c4f57b5c,2009,2,- Vùng Duyên hải Bắc Trung bộ,Provincial,Cultivation,Unknown,,Area_Planted,3212,1000_ha,Actual,PL1,,False
0b3c03bfd8e842b0,2008,2,+ Miền Nam,Provincial,Cultivation,Unknown,,Area_Planted,17565,1000_ha,Actual,PL1,,False
c9b1fc784c8c4a35,2009,2,+ Miền Nam,Provincial,Cultivation,Unknown,,Area_Planted,18403,1000_ha,Actual,PL1,,False
cdc5c3572c601d04,2008,2,2. Thu hoạch lúa đông xuân ở miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,2567,1000_ha,Actual,PL1,,True
877dd399acb5a7b9,2009,2,2. Thu hoạch lúa đông xuân ở miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Harvested,2865,1000_ha,Actual,PL1,,True
f633a96202b9eeb6,2008,2,3. Gieo trồng màu lương thực(),Provincial,Cultivation,Màu lương thực,,Area_Planted,3980,1000_ha,Actual,PL1,,True
ed16568e76eec4da,2009,2,3. Gieo trồng màu lương thực(),Provincial,Cultivation,Màu lương thực,,Area_Planted,3685,1000_ha,Actual,PL1,,True
ff761ef5fd0097c3,2008,2,- Khoai lang,Provincial,Cultivation,Khoai lang,,Area_Planted,795,1000_ha,Actual,PL1,,False
e50bbef8b30eb49f,2009,2,- Khoai lang,Provincial,Cultivation,Khoai lang,,Area_Planted,652,1000_ha,Actual,PL1,,False
50dadaca798de293,2008,2,- Sắn,Provincial,Cultivation,Sắn,,Area_Planted,502,1000_ha,Actual,PL1,,False
b7529c519387a489,2009,2,- Sắn,Provincial,Cultivation,Sắn,,Area_Planted,544,1000_ha,Actual,PL1,,False
e4de57f4ae1fb846,2008,2,4. Gieo trồng cây công nghiệp ngắn ngày(,Provincial,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,1803,1000_ha,Actual,PL1,,True
835bde5cb22b0a64,2009,2,4. Gieo trồng cây công nghiệp ngắn ngày(,Provincial,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,2334,1000_ha,Actual,PL1,,True
702906bc636058fa,2008,2,- Lạc,Provincial,Cultivation,Lạc,,Area_Planted,797,1000_ha,Actual,PL1,,False
e2baaf3747ebc05a,2009,2,- Lạc,Provincial,Cultivation,Lạc,,Area_Planted,1105,1000_ha,Actual,PL1,,False
22cfc9de5188e808,2008,2,"5. Gieo trồng rau, đậu các loại()",Provincial,Cultivation,Rau đậu,,Area_Planted,3067,1000_ha,Actual,PL1,,True
611128d60e6c0f8a,2009,2,"5. Gieo trồng rau, đậu các loại()",Provincial,Cultivation,Rau đậu,,Area_Planted,3025,1000_ha,Actual,PL1,,True
fe9d0eaf04c35515,2009,2,Miền Bắc,Provincial,Cultivation,Lúa,,Area_Planted,933587,ha,Actual,PL2,,False
fe9d0eaf04c35515,2009,2,Miền Bắc,Provincial,Cultivation,Lúa,,Area_Planted,29421,ha,Actual,PL2,,False
fe9d0eaf04c35515,2009,2,Miền Bắc,Provincial,Cultivation,Lúa,,Area_Planted,206367,ha,Actual,PL2,,False
17d245ae225f124e,2009,2,Miền Bắc,Provincial,Cultivation,Ngô,,Area_Planted,139010,ha,Actual,PL2,,False
6dcf259c513c0d18,2009,2,Miền Bắc,Provincial,Cultivation,Khoai lang,,Area_Planted,16964,ha,Actual,PL2,,False
ab77b8f149213a91,2009,2,Miền Bắc,Provincial,Cultivation,Sắn,,Area_Planted,24054,ha,Actual,PL2,,False
fe9d0eaf04c35515,2009,2,Miền Bắc,Provincial,Cultivation,Lúa,,Area_Planted,27996,ha,Actual,PL2,,False
