record_id,year,month,report_date,period_type,geo_level,location_name,region_id,region_name_vn,sector,commodity,sub_item,variety,processing_level,attribute,value,unit,data_type,comparison_type,comparison_value,base_period,base_value,source_file,appendix_number,appendix_title,table_index,row_number,extraction_method,extraction_confidence,notes,is_aggregated,has_missing_values,data_status
4be0275a-96ba-411c-aeea-f94d8c63049c,2010,1,2010-01-15,Seasonal,Provincial,Cả Nước,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Planted,1881.0,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,2,LLM_Extraction,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,False,Complete
f62c67ec-e8f3-46b4-a4ad-87ec862dead9,2010,1,2010-01-15,Monthly,National,Cả nước,,,Cultivation,Cây công nghiệp ngắn ngày,,,Raw,Area_Planted,127.2,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,11,LLM_Extraction,0.9,Original text: 4. Gieo trồng cây công nghiệp ngắn ngày(),True,False,Complete
aa720163-b7ee-40bb-940b-999d454a2480,2010,1,2010-01-15,Monthly,National,Cả nước,,,Cultivation,Khoai lang,,,Raw,Area_Planted,69.4,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,10,LLM_Extraction,0.9,Original text: - Khoai lang,True,False,Complete
348a4531-c27e-44f8-a149-9e6f500644a0,2010,1,2010-01-15,Monthly,National,Cả nước,,,Cultivation,Lạc,,,Raw,Area_Planted,30.3,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,13,LLM_Extraction,0.9,Original text: - Lạc,True,False,Complete
0e1f77f5-a4bb-44e3-8c80-ebace113c85a,2010,1,2010-01-15,Monthly,National,Cả nước,,,Cultivation,Màu lương thực,,,Raw,Area_Planted,298.1,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,8,LLM_Extraction,0.9,Original text: 3. Gieo trồng màu lương thực(),True,False,Complete
eae87fae-b543-4cf9-a712-5e9928ac1951,2010,1,2010-01-15,Monthly,National,Cả nước,,,Cultivation,Rau đậu,,,Raw,Area_Planted,226.6,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,14,LLM_Extraction,0.9,"Original text: 5. Gieo trồng rau, đậu các loại()",True,False,Complete
f4a97faf-77c3-455f-a3b7-16abebdc615f,2010,1,2010-01-15,Seasonal,Regional,Miền Nam,,,Cultivation,Lúa,Mùa,,Raw,Area_Harvested,647.0,1000_ha,Actual,None,,,,2011_01_Phuluc_01_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,6,LLM_Extraction,0.9,Original text: 2. Thu hoạch lúa mùa miền Nam,True,False,Complete
a1644270-a48c-449d-8d61-5cbb6dcdec7d,2010,2,2010-02-15,Seasonal,Provincial,Cả Nước,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Planted,2742.7,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,2,LLM_Extraction,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,False,Complete
a7c5a01e-3c14-4c2f-8358-aadb94623440,2010,2,2010-02-15,Monthly,National,Cả nước,,,Cultivation,Cây công nghiệp ngắn ngày,,,Raw,Area_Planted,247.2,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,14,LLM_Extraction,0.9,Original text: 4. Gieo trồng cây công nghiệp ngắn ngày(),True,False,Complete
5621c769-7f87-43b7-a8f5-028934806dd1,2010,2,2010-02-15,Monthly,National,Cả nước,,,Cultivation,Khoai lang,,,Raw,Area_Planted,68.5,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,12,LLM_Extraction,0.9,Original text: - Khoai lang,True,False,Complete
cac8c295-38c5-4603-a8ae-d9619871b11f,2010,2,2010-02-15,Monthly,National,Cả nước,,,Cultivation,Lạc,,,Raw,Area_Planted,99.3,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,16,LLM_Extraction,0.9,Original text: - Lạc,True,False,Complete
ff5265ef-84a6-485e-88f2-9072ee82ed4e,2010,2,2010-02-15,Monthly,National,Cả nước,,,Cultivation,Màu lương thực,,,Raw,Area_Planted,428.3,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,10,LLM_Extraction,0.9,Original text: 3. Gieo trồng màu lương thực(),True,False,Complete
c7b4ac2f-8661-440f-b95d-f5362ed82eef,2010,2,2010-02-15,Monthly,National,Cả nước,,,Cultivation,Rau đậu,,,Raw,Area_Planted,310.2,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,17,LLM_Extraction,0.9,"Original text: 5. Gieo trồng rau, đậu các loại()",True,False,Complete
df844724-ead1-4cba-aa34-6feec3d192c6,2010,2,2010-02-15,Monthly,National,Cả nước,,,Cultivation,Sắn,,,Raw,Area_Planted,95.8,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,13,LLM_Extraction,0.9,Original text: - Sắn,True,False,Complete
ac745fd9-863f-4c9c-99c6-61738a369915,2010,2,2010-02-15,Seasonal,Regional,Miền Nam,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Harvested,268.0,1000_ha,Actual,None,,,,2011_02_Phuluc_02_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,8,LLM_Extraction,0.9,Original text: 2. Thu hoạch lúa đông xuân ở miền Nam,True,False,Complete
1ac7ce7d-a462-42cc-8dc3-c43e0ff65c70,2010,3,2010-03-15,Seasonal,Provincial,Cả Nước,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Planted,3073.1,1000_ha,Actual,None,,,,2011_03_Phuluc_03_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,3,LLM_Extraction,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,False,Complete
b1688b02-90ca-49c5-9ede-02e7539f6ae1,2010,3,2010-03-15,Monthly,National,Cả nước,,,Cultivation,Cây công nghiệp ngắn ngày,,,Raw,Area_Planted,438.2,1000_ha,Actual,None,,,,2011_03_Phuluc_03_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,16,LLM_Extraction,0.9,Original text: 5. Gieo trồng cây công nghiệp ngắn ngày(*),True,False,Complete
027a83bd-5a29-4ba5-af9f-3c01c82ac9e3,2010,3,2010-03-15,Monthly,National,Cả nước,,,Cultivation,Khoai lang,,,Raw,Area_Planted,83.5,1000_ha,Actual,None,,,,2011_03_Phuluc_03_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,14,LLM_Extraction,0.9,Original text: - Khoai lang,True,False,Complete
1fb65f75-cc43-4ade-8fb9-4a3c7fdadbc3,2010,3,2010-03-15,Monthly,National,Cả nước,,,Cultivation,Lạc,,,Raw,Area_Planted,165.5,1000_ha,Actual,None,,,,2011_03_Phuluc_03_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,18,LLM_Extraction,0.9,Original text: - Lạc,True,False,Complete
cc4b7224-5731-452a-9cad-4a37153a148a,2010,3,2010-03-15,Monthly,National,Cả nước,,,Cultivation,Màu lương thực,,,Raw,Area_Planted,590.0,1000_ha,Actual,None,,,,2011_03_Phuluc_03_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,12,LLM_Extraction,0.9,Original text: 4. Gieo trồng màu lương thực(*),True,False,Complete
9d5cc563-dd7f-467c-9773-a8486c6e1975,2010,3,2010-03-15,Monthly,National,Cả nước,,,Cultivation,Mía,,,Raw,Area_Planted,133.9,1000_ha,Actual,None,,,,2011_03_Phuluc_03_2011_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,19,LLM_Extraction,0.9,Original text: - Mía (trồng mới),True,False,Complete
