record_id,geo_context_geo_level,geo_context_location_name,item_context_sector,item_context_commodity,metric_context_attribute,metric_context_value,metric_context_unit,metric_context_data_type,metadata_source_file,metadata_appendix_number,metadata_extraction_confidence,metadata_extraction_timestamp,comparison_context_comparison_type,comparison_context_comparison_value
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Tổng mức đầu tư,Investment_Amount,2954763.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080632,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Tổng mức đầu tư,Investment_Amount,168180.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080640,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Tổng mức đầu tư,Investment_Amount,165313.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080642,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Tổng mức đầu tư,Investment_Amount,333493.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080645,vs_Plan,11.29
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn thực hiện đầu tư,Investment_Amount,2611500.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080646,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn thực hiện đầu tư,Investment_Amount,164980.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080648,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn thực hiện đầu tư,Investment_Amount,162563.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080650,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn thực hiện đầu tư,Investment_Amount,327543.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080652,vs_Plan,12.54
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ lợi,Investment_Amount,1483500.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080654,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ lợi,Investment_Amount,124580.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080655,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ lợi,Investment_Amount,110000.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080657,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ lợi,Investment_Amount,234580.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080658,vs_Plan,15.81
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Nông nghiệp,Investment_Amount,493000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080660,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Nông nghiệp,Investment_Amount,22500.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080662,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Nông nghiệp,Investment_Amount,36413.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080663,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Nông nghiệp,Investment_Amount,58913.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080665,vs_Plan,11.95
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Lâm nghiệp,Investment_Amount,230000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080666,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Lâm nghiệp,Investment_Amount,4800.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080668,,
