record_id,year,month,report_date,period_type,geo_level,location_name,region_id,region_name_vn,sector,commodity,sub_item,variety,processing_level,attribute,value,unit,data_type,comparison_type,comparison_value,base_period,base_value,source_file,appendix_number,appendix_title,table_index,row_number,extraction_method,extraction_confidence,notes,is_aggregated,has_missing_values,data_status
56d69cc1-e879-402d-b46e-b3fbb304ef7c,2008,2,2008-02-15,Seasonal,Provincial,Cả Nước,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Planted,2180.5,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,2,LLM_Extraction,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,False,Complete
46f2915b-bef9-4919-abe2-b8a586e786a3,2008,2,2008-02-15,Monthly,National,Cả nước,,,Cultivation,Cây công nghiệp ngắn ngày,,,Raw,Area_Planted,180.3,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,14,LLM_Extraction,0.9,Original text: 4. Gieo trồng cây công nghiệp ngắn ngày(,True,False,Complete
a70f5b83-53ab-45fb-8644-b67b0a514f84,2008,2,2008-02-15,Monthly,National,Cả nước,,,Cultivation,Khoai lang,,,Raw,Area_Planted,79.5,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,12,LLM_Extraction,0.9,Original text: - Khoai lang,True,False,Complete
6131f14c-f2d2-4275-a01c-548eff395328,2008,2,2008-02-15,Monthly,National,Cả nước,,,Cultivation,Lạc,,,Raw,Area_Planted,79.7,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,16,LLM_Extraction,0.9,Original text: - Lạc,True,False,Complete
a340b981-1379-4423-b356-1191da6e4cf7,2008,2,2008-02-15,Monthly,National,Cả nước,,,Cultivation,Màu lương thực,,,Raw,Area_Planted,398.0,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,10,LLM_Extraction,0.9,Original text: 3. Gieo trồng màu lương thực(),True,False,Complete
a8dd4602-11ca-4f44-b002-ee0462db7b31,2008,2,2008-02-15,Monthly,National,Cả nước,,,Cultivation,Rau đậu,,,Raw,Area_Planted,306.7,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,17,LLM_Extraction,0.9,"Original text: 5. Gieo trồng rau, đậu các loại()",True,False,Complete
857220ae-be70-457b-a34e-f18c2120e37b,2008,2,2008-02-15,Monthly,National,Cả nước,,,Cultivation,Sắn,,,Raw,Area_Planted,50.2,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,13,LLM_Extraction,0.9,Original text: - Sắn,True,False,Complete
4cdc2240-3bef-49dc-af94-903a20481edc,2008,2,2008-02-15,Seasonal,Regional,Miền Nam,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Harvested,256.7,1000_ha,Actual,None,,,,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,8,LLM_Extraction,0.9,Original text: 2. Thu hoạch lúa đông xuân ở miền Nam,True,False,Complete
085a400b-d3b0-4d9a-aaaf-150ac4de8ae5,2008,3,2008-03-15,Seasonal,Provincial,Cả Nước,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Planted,2931.7,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,2,LLM_Extraction,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,False,Complete
1261fb88-75ed-48d5-ae95-8d913bcf9b4e,2008,3,2008-03-15,Monthly,National,Cả nước,,,Cultivation,Cây công nghiệp ngắn ngày,,,Raw,Area_Planted,334.5,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,15,LLM_Extraction,0.9,Original text: 5. Gieo trồng cây công nghiệp ngắn ngày(*),True,False,Complete
8f0514b2-0087-4cfb-bafa-dbc42dde6ed5,2008,3,2008-03-15,Monthly,National,Cả nước,,,Cultivation,Khoai lang,,,Raw,Area_Planted,92.6,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,13,LLM_Extraction,0.9,Original text: - Khoai lang,True,False,Complete
820466a0-1306-4560-aa63-d21b32081d14,2008,3,2008-03-15,Monthly,National,Cả nước,,,Cultivation,Lạc,,,Raw,Area_Planted,168.1,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,17,LLM_Extraction,0.9,Original text: - Lạc,True,False,Complete
1df1e820-87d3-4d5c-831b-a58939f7c170,2008,3,2008-03-15,Monthly,National,Cả nước,,,Cultivation,Mía,,,Raw,Area_Planted,50.2,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,18,LLM_Extraction,0.9,Original text: - Mía (trồng mới),True,False,Complete
de88c0fa-e99b-4873-a7b8-62469df85828,2008,3,2008-03-15,Monthly,National,Cả nước,,,Cultivation,Rau đậu,,,Raw,Area_Planted,339.6,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,20,LLM_Extraction,0.9,"Original text: 6. Gieo trồng rau, đậu các loại(*)",True,False,Complete
71de22ee-4fe7-47b3-9a6c-491933e07a4b,2008,3,2008-03-15,Monthly,National,Cả nước,,,Cultivation,Sắn,,,Raw,Area_Planted,105.4,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,14,LLM_Extraction,0.9,Original text: - Sắn,True,False,Complete
cd57ebde-73aa-44fa-a267-81da2aa7bb09,2008,3,2008-03-15,Seasonal,Regional,Miền Nam,,,Cultivation,Lúa,Đông Xuân,,Raw,Area_Harvested,992.0,1000_ha,Actual,None,,,,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,1,8,LLM_Extraction,0.9,Original text: 2. Thu hoạch lúa đông xuân miền Nam,True,False,Complete
