record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number
56ddf6191ec60b49,2008,12,1. Gieo cấy lúa đông xuân ở miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,10094.0,1000_ha,Actual,PL1
c92d5046553d5487,2009,12,1. Gieo cấy lúa đông xuân ở miền Nam,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,12409.0,1000_ha,Actual,PL1
22638b347ba76813,2008,12,2. Thu hoạch lúa mùa ở miền Nam,Provincial,Cultivation,Unknown,,Area_Planted,4536.0,1000_ha,Actual,PL1
b8c227ed9639f931,2009,12,2. Thu hoạch lúa mùa ở miền Nam,Provincial,Cultivation,Unknown,,Area_Planted,4656.0,1000_ha,Actual,PL1
76ad715e0b1c01ef,2008,12,3. Gieo trồng cây vụ đông ở miền Bắc,Provincial,Cultivation,Unknown,,Area_Planted,4375.0,1000_ha,Actual,PL1
6c948fe66aef29a3,2009,12,3. Gieo trồng cây vụ đông ở miền Bắc,Provincial,Cultivation,Unknown,,Area_Planted,4407.0,1000_ha,Actual,PL1
b4ed864463226e87,2008,12,- Khoai lang,Provincial,Cultivation,Khoai lang,,Area_Planted,629.0,1000_ha,Actual,PL1
bdf3f35266ea9c6c,2009,12,- Khoai lang,Provincial,Cultivation,Khoai lang,,Area_Planted,491.0,1000_ha,Actual,PL1
65b6cb3d2eb3f521,2008,12,- Đậu tương,Provincial,Cultivation,Đậu tương,,Area_Planted,640.0,1000_ha,Actual,PL1
2fb163fd6dafe762,2009,12,- Đậu tương,Provincial,Cultivation,Đậu tương,,Area_Planted,802.0,1000_ha,Actual,PL1
a2d025b30363a9cc,2008,12,"- Rau, đậu các loại",Provincial,Cultivation,Rau đậu,,Area_Planted,1190.0,1000_ha,Actual,PL1
3643d75b15618892,2009,12,"- Rau, đậu các loại",Provincial,Cultivation,Rau đậu,,Area_Planted,1205.0,1000_ha,Actual,PL1
